Advance IC Engineering                              ;17
AMW                                                 ;19
ANE Model Co, Ltd                                  ;45
Aristo-Craft Trains                                ;34
Arnold – Rivarossi                               ;173
Atlas Model Railroad Products                     ;127
AuroTrains                                       ;170
Auvidel                                           ;76
AXJ Electronics                                   ;110
Bachmann Trains                                   ;101
Benezan Electronics                               ;114
Bluecher-Electronic                                ;60
Brelec                                             ;31
BRAWA Modellspielwaren GmbH & Co.                ;186
Broadway Limited Imports, LLC                      ;38
Capecom                                            ;47
CML Electronics Limited                                 ;1
Computer Dialysis France                          ;105
Con-Com GmbH                                     ;204
csikos-muhely                                     ;120
cT Elektronik                                     ;117
CVP Products                                     ;135
DCCconcepts                                        ;36
DCC Supplies, Ltd                                  ;51
Dietz Modellbahntechnik                           ;115
Digirails                                          ;42
Digital Bahn                                      ;64
Digitools Elektronika, Kft                        ;75
Digitrax                                         ;129
Digsight                                            ;30
Doehler & Haas                                    ;97
Educational Computer, Inc.                         ;39
Electronik & Model Produktion                      ;35
Electronic Solutions Ulm GmbH                    ;151
Electroniscript, Inc.                             ;94
Elproma Electronics Poland                       ;225
E-Modell                                         ;69
Gaugemaster                                       ;65
Gebr. Fleischmann GmbH & Co.                     ;155
GFB Designs                                        ;46
GooVerModels                                      ;81
Haber & Koenig Electronics GmbH (HKE)             ;111
HAG Modelleisenbahn AG                            ;82
Harman DCC                                        ;98
Hattons Model Railways                            ;79
Heljan A/S                                          ;28
Heller Modenlbahn                                 ;67
HONS Model                                        ;88
Hornby Hobbies Ltd                         ;48
Integrated Signal Systems                 ;102
Intelligent Command Control              ;133
Joka Electronic                            ;49
JMRI                                        ;18
JSS-Elektronic                            ;83
KAM Industries                              ;22
KATO Precision Models                      ;40
Kevtronics cc                             ;93
Kreischer Datentechnik                      ;21
KRES GmbH                                  ;58
Krois-Modell                               ;52
Kuehn Ing.                               ;157
Lenz Elektronik GmbH                      ;99
LDH                                        ;56
LGB (Ernst Paul Lehmann Patentwerk)      ;159
LSdigital                                 ;112
LS Models Sprl                            ;77
Massoth Elektronik, GmbH                  ;123
MAWE Elektronik                           ;68
MBTronik – PiN GITmBH                       ;26
Mistral Train Models                        ;29
MoBaTron.de                                 ;24
Model Electronic Railway Group           ;165
Model Rectifier Corp.                    ;143
Modelleisenbahn GmbH (formerly Roco)     ;161
MTB Model                                 ;72
MTH Electric Trains, Inc.                   ;27
MÜT GmbH                                  ;118
MyLocoSound                               ;116
N&Q Electronics                            ;50
NAC Services, Inc                          ;37
Nagasue System Design Office              ;103
NCE Corporation (formerly North Coast Engineering)       ;11
New York Byano Limited                    ;71
Ngineering                                 ;43
NMRA Reserved (for extended ID #’s)      ;238
Noarail                                    ;63
Opherline1                                ;106
Passmann                                   ;41
Phoenix Sound Systems, Inc.               ;107
PpP Digital                               ;74
Pojezdy.EU                                ;89
Praecipuus                                 ;33
PRICOM Design                             ;96
ProfiLok Modellbahntechnik GmbH           ;125
PSI –Dynatrol                                ;14
Public Domain & Do-It-Yourself Decoders      ;13
QElectronics GmbH                          ;55
QS Industries (QSI)                       ;113
Railflyer Model Prototypes, Inc.          ;84
Railnet Solutions, LLC                    ;66
Railstars Limited                         ;91
Ramfixx Technologies (Wangrow)               ;15
Rampino Elektronik                  ;57
Rautenhaus Digital Vertrieb         ;53
RealRail Effects                  ;139
Regal Way Co. Ltd                   ;32
Rock Junction Controls            ;149
Rocrail                            ;70
RR-Cirkits                         ;87
S Helper Service                     ;23
Sanda Kan Industrial, Ltd.         ;95
Shourt Line                        ;90
Spectrum Engineering               ;80
SPROG-DCC                           ;44
T4T – Technology for Trains GmbH     ;20
Tam Valley Depot                    ;59
Tams Elektronik GmbH                ;62
Tawcrafts                          ;92
TCH Technology                      ;54
Team Digital, LLC                    ;25
Tehnologistic (train-O-matic)      ;78
The Electric Railroad Company      ;73
Throttle-Up (Soundtraxx)          ;141
Train Control Systems             ;153
TrainModules                        ;61
Train Technology                        ;2
TrainTech                          ;104
Trenes Digitales                   ;100
Trix Modelleisenbahn              ;131
Uhlenbrock GmbH                    ;85
Umelec Ing. Buero                 ;147
Viessmann Modellspielwaren GmbH    ;109
W. S. Ataras Engineering           ;119
Wangrow Electronics                   ;12
Wekomm Engineering, GmbH           ;86
WP Railshops                      ;163
Zimo Elektronik                   ;145
ZTC                               ;132
